Wkrnr,Wahlkreisname,Bundesland,Einwohner,Migrationshintergrund Anteil,Verfügbares Einkommen PP im Monat,Wahlberechtigte Zweitstimmen,Wähler Zweitstimmen,Ungültige Zweitstimmen,Gültige Zweitstimmen,Sozialdemokratische Partei Deutschlands Zweitstimmen,DIE LINKE Zweitstimmen,BÜNDNIS 90 DIE GRÜNEN Zweitstimmen,Freie Demokratische Partei Zweitstimmen,Alternative für Deutschland Zweitstimmen,UNION Zweitstimmen
45,Gifhorn – Peine,Niedersachsen,280.1,0.173,20407,218556,168861,1288,167573,50445,10166,12094,14004,18289,56567
46,Hameln-Pyrmont – Holzminden,Niedersachsen,237.5,0.158,20459,187377,139780,1107,138673,44190,9130,9995,12531,14054,44424
47,Hannover-Land II,Niedersachsen,309.3,0.241,20136,239923,188495,1479,187016,55161,12305,16290,17925,19392,58984
48,Hildesheim,Niedersachsen,277.1,0.153,19957,218349,169613,1316,168297,52077,10932,14806,13876,15695,54871
49,Salzgitter – Wolfenbüttel,Niedersachsen,265.2,0.182,19830,206133,157046,1327,155719,50482,11266,10213,12450,19115,45985
50,Braunschweig,Niedersachsen,251.4,0.214,19803,192041,147712,1055,146657,38695,13673,17295,14684,12268,42534
51,Helmstedt – Wolfsburg,Niedersachsen,241.9,0.218,21065,183961,137303,1291,136012,40740,9050,8064,10988,14862,47037
52,Goslar – Northeim – Osterode,Niedersachsen,255.2,0.124,20180,202963,150977,1187,149790,48016,9521,9929,13734,15132,48131
53,Göttingen,Niedersachsen,286.8,0.158,19554,220420,170547,1223,169324,47871,14748,19676,15421,13446,51177
54,Bremen I,Bremen,352.6,0.265,20582,252496,188064,1688,186376,45729,26425,23568,19138,15539,48458
55,Bremen II – Bremerhaven,Bremen,318.8,0.264,19465,221655,147855,1908,145947,43215,18204,13165,11918,17705,34951
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,209.5,0.032,17936,176002,120228,1820,118408,24884,19447,4231,6555,22183,35215
57,Uckermark – Barnim I,Brandenburg,219.9,0.041,18121,184716,129870,1857,128013,21650,23870,5187,7021,26605,36160
58,Oberhavel – Havelland II,Brandenburg,295.8,0.051,18806,243108,185012,2402,182610,33856,26091,11684,13912,33987,51968
59,Märkisch-Oderland – Barnim II,Brandenburg,269.3,0.041,18742,226424,170039,2343,167696,25908,34632,7800,11007,34701,42113
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,220.3,0.046,18930,183182,128058,1913,126145,26055,20925,5238,8194,22633,35556
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,310.5,0.063,19217,247441,195802,1933,193869,35773,35106,19079,17768,26133,48015
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,300.9,0.048,19225,248708,187607,2697,184910,32565,29217,8617,13718,38915,49982
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,240.5,0.048,18268,194759,140051,2053,137998,22702,26202,5896,9241,30477,33888
64,Cottbus – Spree-Neiße,Brandenburg,217.3,0.049,18308,178676,132113,2085,130028,19729,21456,4093,9941,34905,31366
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,200.9,0.027,17818,168543,123365,2211,121154,18700,18775,3146,8128,30564,33576
66,Altmark,Sachsen-Anhalt,201.4,0.029,17755,165625,111193,1330,109863,18721,20346,3648,7838,18419,36022
67,Börde – Jerichower Land,Sachsen-Anhalt,265.2,0.027,19054,220786,150499,2411,148088,24053,24555,4236,11413,27905,47566
68,Harz,Sachsen-Anhalt,257.4,0.028,17779,215607,143567,2036,141531,22915,25069,4968,9902,23860,47574
69,Magdeburg,Sachsen-Anhalt,292.4,0.064,16976,238060,162894,2117,160777,27513,30056,8564,12713,26051,44616
70,Dessau – Wittenberg,Sachsen-Anhalt,211.4,0.032,18156,177005,123466,1722,121744,17360,21102,4299,8940,24327,38751
71,Anhalt,Sachsen-Anhalt,268.8,0.033,17535,224401,147946,2407,145539,20289,25887,3455,10848,32349,44620
72,Halle,Sachsen-Anhalt,270.4,0.064,16697,214668,152467,2173,150294,21196,28892,10457,13533,26727,39833
73,Burgenland – Saalekreis,Sachsen-Anhalt,231.8,0.03,17949,191636,131219,2007,129212,17098,21042,3366,10132,31781,38678
74,Mansfeld,Sachsen-Anhalt,246.7,0.026,17920,207103,140223,2291,137932,19835,23909,3250,11236,32982,39751
75,Berlin-Mitte,Berlin,354.3,0.241,18594,206706,151412,1969,149443,26788,32118,25708,12972,12289,27861
76,Berlin-Pankow,Berlin,314,0.241,18594,237071,188499,1847,186652,29185,43774,26651,12321,23315,36994
77,Berlin-Reinickendorf,Berlin,252.1,0.241,18594,182398,137240,2135,135105,27071,11516,12305,15376,18513,41912
78,Berlin-Spandau – Charlottenburg Nord,Berlin,262.4,0.241,18594,184608,133009,2262,130747,29733,12780,11063,12927,18481,36712
79,Berlin-Steglitz-Zehlendorf,Berlin,286.5,0.241,18594,221210,180720,1763,178957,34279,16352,25361,25461,15824,53281
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,277.7,0.241,18594,198672,158034,1387,156647,30351,18367,24770,23280,12374,40085
81,Berlin-Tempelhof-Schöneberg,Berlin,333.7,0.241,18594,235250,181159,2078,179081,36179,23625,27956,18569,17108,44721
82,Berlin-Neukölln,Berlin,318.7,0.241,18594,202618,143553,2140,141413,27520,25752,18446,10891,15904,31592
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,339.8,0.241,18594,223427,173289,1545,171744,27391,49016,35077,10147,10863,23887
84,Berlin-Treptow-Köpenick,Berlin,251.2,0.241,18594,205106,157111,1923,155188,24109,39000,12168,10067,26278,31372
85,Berlin-Marzahn-Hellersdorf,Berlin,256.3,0.241,18594,200704,138992,2053,136939,19797,35698,5621,7290,29618,28620
86,Berlin-Lichtenberg,Berlin,273.3,0.241,18594,205300,149116,1990,147126,21850,43172,9821,7745,24603,27284
87,Aachen I,Nordrhein-Westfalen,245.9,0.246,19652,179273,140624,823,139801,34663,14459,17918,19795,8271,38827
88,Aachen II,Nordrhein-Westfalen,308,0.246,19652,228248,173149,1542,171607,60539,10105,8436,19213,14853,52656
89,Heinsberg,Nordrhein-Westfalen,252.5,0.206,18979,190051,142330,1440,140890,36421,7909,7281,16111,12313,55605
90,Düren,Nordrhein-Westfalen,262.8,0.191,20228,199675,151595,1461,150134,43816,8809,8198,17155,14432,52412
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,336.1,0.22,21542,248982,191505,1637,189868,50014,11392,12526,27398,18091,63664
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,321.7,0.185,21000,246753,187796,1600,186196,43498,11403,12447,27410,18325,66503
93,Köln I,Nordrhein-Westfalen,291.4,0.323,20799,192574,139718,1087,138631,33666,15271,15800,18067,12290,36565
94,Köln II,Nordrhein-Westfalen,316.9,0.323,20799,240985,197979,901,197078,38485,21100,30630,33760,9964,56165
95,Köln III,Nordrhein-Westfalen,304.5,0.323,20799,203647,150629,1104,149525,36849,19118,20973,16850,11731,36500
96,Bonn,Nordrhein-Westfalen,318.8,0.31,23005,227583,180439,1231,179208,36119,17133,25197,28113,13136,53334
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,312.8,0.221,22669,237415,184295,1538,182757,40922,13038,13757,27267,18237,62334
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,283.4,0.221,22669,216020,174513,1350,173163,34583,11116,15192,30142,15226,61425
